t_s,rojo,verde,azul,claro
14.2687,15,73,22,98
14.2833,15,73,22,98
14.2976,15,40,52,98
14.3135,15,40,52,98
14.3265,15,40,52,98
14.3436,16,41,52,98
14.3575,16,41,52,98
14.3749,16,41,52,98
14.3898,16,41,51,99
14.4108,16,41,51,99
14.4310,16,41,51,99
14.4436,16,41,51,99
14.4660,16,41,51,99
14.4824,15,41,51,99
14.5001,15,41,51,99
14.5140,15,40,51,99
14.5319,15,40,51,99
14.5507,15,40,51,99
14.5708,16,41,52,98
14.5951,16,41,52,98
14.6136,15,40,52,99
14.6275,15,40,52,99
14.6449,15,40,52,99
14.6598,15,40,51,98
14.6745,15,40,51,98
14.6886,15,40,51,98
14.7023,15,40,51,98
14.7159,15,40,51,98
14.7334,15,40,51,98
14.7474,15,40,52,98
14.7659,15,40,52,98
14.7805,16,41,52,98
14.7942,16,41,52,98
14.8111,16,41,52,98
14.8247,16,41,52,98
14.8375,16,40,52,99
14.8534,16,40,52,99
14.8667,15,40,52,99
14.8846,15,40,52,99
14.8985,15,40,52,99
14.9133,16,40,51,98
14.9278,16,40,51,98
14.9425,16,40,51,98
14.9570,15,40,51,98
14.9733,15,40,51,98
14.9867,15,40,51,98
15.0021,16,41,51,99
15.0157,16,41,51,99
15.0343,16,41,51,99
15.0476,15,40,52,98
15.0630,15,40,52,98
15.0780,15,40,52,98
15.0941,15,40,52,98
15.1094,15,40,52,98
15.1234,15,40,52,98
15.1371,16,41,51,99
15.1539,16,41,51,99
15.1677,16,41,51,99
15.1824,16,41,52,98
15.1965,16,41,52,98
15.2137,16,41,52,98
15.2275,15,40,52,99
15.2423,15,40,52,99
15.2603,15,40,52,99
15.2743,15,40,51,98
15.2876,15,40,51,98
15.3041,15,40,51,98
15.3188,15,40,51,98
15.3338,15,40,51,98
15.3487,15,40,51,98
15.3651,16,41,51,98
15.3814,16,41,51,98
15.3976,16,41,51,98
15.4145,15,40,52,99
15.4326,15,40,52,99
15.4505,15,40,52,99
15.4670,15,40,52,99
15.4825,15,40,52,99
15.4989,16,41,51,99
15.5142,16,41,51,99
15.5287,16,41,51,99
15.5470,15,41,51,99
15.5625,15,41,51,99
15.5857,16,40,51,98
15.6024,16,40,51,98
15.6186,16,40,51,98
15.6343,15,40,51,99
15.6501,15,40,51,99
15.6661,16,41,52,98
15.6814,16,41,52,98
15.6951,16,41,52,98
15.7095,16,41,52,98
15.7237,15,40,52,99
15.7380,15,40,52,99
15.7535,15,40,51,98
15.7711,15,40,51,98
15.7855,15,40,51,98
15.7998,15,40,51,98
15.8133,15,40,51,98
15.8284,15,40,51,98
15.8422,15,40,51,98
15.8561,15,40,52,98
15.8733,15,40,52,98
15.8870,16,41,52,98
15.9027,16,41,52,98
15.9183,16,41,52,98
15.9338,16,41,52,98
15.9459,16,41,51,98
15.9656,16,41,51,98
15.9797,16,40,51,99
15.9942,16,40,51,99
16.0073,16,40,51,99
16.0241,16,41,51,99
16.0370,16,41,51,99
16.0556,16,41,51,99
16.0705,16,41,51,99
16.0846,16,41,51,99
16.1006,16,41,51,99
16.1145,15,40,51,99
16.1280,15,40,51,99
16.1436,15,40,51,99
16.1574,15,40,52,99
16.1756,15,40,52,99
16.1893,15,40,52,99
16.2055,15,40,51,99
16.2179,15,40,51,99
16.2336,15,40,51,99
16.2482,15,40,52,99
16.2637,15,40,52,99
16.2772,15,40,52,99
16.2937,30,55,20,97
16.3067,30,55,20,97
16.3234,30,55,20,97
16.3381,33,56,19,95
16.3527,33,56,19,95
16.3723,33,56,19,95
16.3939,34,55,19,95
16.4104,34,55,19,95
16.4272,33,56,19,95
16.4428,33,56,19,95
16.4632,33,55,18,95
16.4838,33,55,18,95
16.5001,33,55,18,95
16.5187,34,56,18,95
16.5343,34,56,18,95
16.5496,34,56,18,95
16.5694,33,56,19,95
16.5912,33,56,19,95
16.6133,34,56,18,97
16.6277,34,56,18,97
16.6455,30,56,18,97
16.6612,30,56,18,97
16.6789,30,56,18,97
16.6937,31,55,18,97
16.7118,31,55,18,97
16.7249,31,55,18,97
16.7399,34,56,19,95
16.7537,34,56,19,95
16.7726,34,56,19,95
16.7860,31,55,18,97
16.8048,31,55,18,97
16.8198,33,56,18,97
16.8344,33,56,18,97
16.8500,33,56,18,97
16.8642,31,56,18,97
16.8794,31,56,19,95
